UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
104151, 1,29,3,4,"R",48702,"R",27532,"R",21170,"R",641,"R",292,"R",349,"R",3076,"R",1712,"R",1364,"R",1771,"R",888,"R",883,"R",7939,"R",4162,"R",3777,"R",109,"R",66,"R",43,"R",27094,"R",15232,"R",11862,"R",1620,"R",813,"R",807,"R",400,"R",230,"R",170,"R",6052,"R",4137,"R",1915
104151, 2,99,3,1,"R",38730,"R",21588,"R",17142,"R",524,"R",241,"R",283,"R",2613,"R",1474,"R",1139,"R",1538,"R",772,"R",766,"R",7145,"R",3727,"R",3418,"R",97,"R",59,"R",38,"R",22214,"R",12487,"R",9727,"R",1450,"R",726,"R",724,"R",256,"R",145,"R",111,"R",2893,"R",1957,"R",936
104151, 3,99,3,1,"R",38480,"R",21471,"R",17009,"R",523,"R",241,"R",282,"R",2605,"R",1470,"R",1135,"R",1532,"R",771,"R",761,"R",7129,"R",3719,"R",3410,"R",96,"R",59,"R",37,"R",22144,"R",12454,"R",9690,"R",1446,"R",725,"R",721,"R",255,"R",144,"R",111,"R",2750,"R",1888,"R",862
104151, 4,99,3,1,"R",7171,"R",4019,"R",3152,"R",58,"R",26,"R",32,"R",560,"R",320,"R",240,"R",238,"R",117,"R",121,"R",1384,"R",712,"R",672,"R",9,"R",6,"R",3,"R",3741,"R",2088,"R",1653,"R",337,"R",180,"R",157,"R",39,"R",19,"R",20,"R",805,"R",551,"R",254
104151, 5,99,3,1,"R",31309,"R",17452,"R",13857,"R",465,"R",215,"R",250,"R",2045,"R",1150,"R",895,"R",1294,"R",654,"R",640,"R",5745,"R",3007,"R",2738,"R",87,"R",53,"R",34,"R",18403,"R",10366,"R",8037,"R",1109,"R",545,"R",564,"R",216,"R",125,"R",91,"R",1945,"R",1337,"R",608
104151,11,99,3,1,"R",250,"R",117,"R",133,"R",1,"Z",0,"R",1,"R",8,"R",4,"R",4,"R",6,"R",1,"R",5,"R",16,"R",8,"R",8,"R",1,"Z",0,"R",1,"R",70,"R",33,"R",37,"R",4,"R",1,"R",3,"R",1,"R",1,"Z",0,"R",143,"R",69,"R",74
104151,12,99,3,3,"R",9972,"R",5944,"R",4028,"R",117,"R",51,"R",66,"R",463,"R",238,"R",225,"R",233,"R",116,"R",117,"R",794,"R",435,"R",359,"R",12,"R",7,"R",5,"R",4880,"R",2745,"R",2135,"R",170,"R",87,"R",83,"R",144,"R",85,"R",59,"R",3159,"R",2180,"R",979
104151,19,99,3,1,"R",3354,"R",1826,"R",1528,"R",56,"R",21,"R",35,"R",145,"R",80,"R",65,"R",159,"R",86,"R",73,"R",694,"R",355,"R",339,"R",10,"R",5,"R",5,"R",1956,"R",1102,"R",854,"R",130,"R",54,"R",76,"R",16,"R",7,"R",9,"R",188,"R",116,"R",72
104151,20,99,3,1,"R",27955,"R",15626,"R",12329,"R",409,"R",194,"R",215,"R",1900,"R",1070,"R",830,"R",1135,"R",568,"R",567,"R",5051,"R",2652,"R",2399,"R",77,"R",48,"R",29,"R",16447,"R",9264,"R",7183,"R",979,"R",491,"R",488,"R",200,"R",118,"R",82,"R",1757,"R",1221,"R",536
104151,21,14,1,4,"R",42498,"R",24011,"R",18487,"R",526,"R",238,"R",288,"R",2704,"R",1511,"R",1193,"R",1477,"R",738,"R",739,"R",6921,"R",3598,"R",3323,"R",99,"R",59,"R",40,"R",23342,"R",13087,"R",10255,"R",1477,"R",740,"R",737,"R",274,"R",148,"R",126,"R",5678,"R",3892,"R",1786
