UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
104151,"Arizona State University-Tempe","University Drive and Mill Avenue","Tempe","AZ","85287", 4, 6,"Michael M. Crow","President","4809659011","4809653610","860196696","00108100",1,"www.asu.edu/","students.asu.edu/admission","students.asu.edu/financialaid","webapp4.asu.edu/ugapp/mainmenulogic","students.asu.edu/costs",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"ASU Tempe",2,15,11,15,11,4,15,15,2,5,38060,1,-2,-2,1,"Arizona Board of Regents","104010",4013,"Maricopa County",409,-111.940011,33.421922,125,1
104179,"University of Arizona","1401 E University","Tucson","AZ","85721-0066", 4, 6,"Ann Weaver Hart","President","5206212211","5206219323","866004791","00108300",1,"www.arizona.edu","admissions.arizona.edu","financialaid.arizona.edu","admissions.arizona.edu/apply","oirps.arizona.edu/npc.html",1,1,1,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|",2,15,11,14,11,4,15,15,1,5,46060,1,536,-2,1,"Arizona Board of Regents","104010",4019,"Pima County",403,-110.950769,32.232071,125,1
110404,"California Institute of Technology","1200 E California Blvd","Pasadena","CA","91125", 6, 8,"Jean-Lou Chameau","President","6263956811"," ","951643307","00113100",1,"www.caltech.edu","www.admissions.caltech.edu/","www.finaid.caltech.edu/","www.admissions.caltech.edu/applying","www.finaid.caltech.edu/",2,1,2,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Caltech|Cal Tech",2,15,8,17,12,6,11,15,2,2,31080,1,348,-2,2," ","-2",6037,"Los Angeles County",627,-118.125740,34.139275,127,1
110635,"University of California-Berkeley","200 California Hall","Berkeley","CA","94720", 6, 8,"Nicholas B. Dirks","Chancellor","5106426000"," ","946002123","00131200",1,"www.berkeley.edu"," "," "," ","calculator.berkeley.edu/",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"UC Berkeley",2,15,5,15,13,5,16,15,1,5,41860,1,488,-2,1,"University of California","106080",6001,"Alameda County",613,-122.260401,37.871519,125,2
110644,"University of California-Davis","One Shields Avenue","Davis","CA","95616-8678", 6, 8,"Linda P.B. Katehi","Chancellor","5307521011"," ","946036494","00131300",1,"www.ucdavis.edu","www.ucdavis.edu/admissions/","financialaid.ucdavis.edu/","universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html","financialaid.ucdavis.edu/aidEstimator/ucdcalcmain.aspx",1,1,1,9,1,1,11,1,2,1,1,2,23,1,"A ",-2,-2,"-2",1,1,1,1,1,"UC Davis",2,15,8,14,13,4,16,15,1,5,40900,1,472,-2,1,"University of California","106080",6113,"Yolo County",603,-121.751958,38.539895,125,2
110653,"University of California-Irvine","501 Aldrich Hall","Irvine","CA","92697", 6, 8,"Michael V. Drake","Chancellor","9498245011"," ","952226406","00131400",1,"www.uci.edu/","www.admissions.uci.edu/","www.ofas.uci.edu/","www.universityofcalifornia.edu/apply","www.ofas.uci.edu/content/Calculator.aspx",1,1,1,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"UCI |UC Irvine",2,15,5,14,13,4,16,15,2,5,31080,1,348,-2,1,"University of California","106080",6059,"Orange County",645,-117.841248,33.648434,125,2
110662,"University of California-Los Angeles","405 Hilgard Ave","Los Angeles","CA","90095-1405", 6, 8,"Dr. Gene D. Block","Chancellor","3108254321"," ","956006143","00131500",1,"www.ucla.edu/","www.admissions.ucla.edu/","www.fao.ucla.edu/","www.universityofcalifornia.edu/admissions/how-to-apply/apply-online/index.html","www.fao.ucla.edu/aid_estimator/",1,1,1,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"UCLA",2,15,5,14,13,5,16,15,2,5,31080,1,348,-2,1,"University of California","106080",6037,"Los Angeles County",633,-118.443901,34.068892,125,2
110680,"University of California-San Diego","9500 Gilman Dr","La Jolla","CA","92093", 6, 8,"Pradeep Khosla","Chancellor","8585342230"," ","956006144","00131700",1,"www.ucsd.edu","www.ucsd.edu/prospective-students/undergrad.html","www.ucsd.edu","www.universityofcalifornia.edu/admissions/how-to-apply/apply-online/index.html","students.ucsd.edu/finances/financial-aid/forms/calculator.html",1,1,1,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"UCSD |UC San Diego",2,15,5,14,13,4,16,15,2,5,41740,1,-2,-2,1,"University of California","106080",6073,"San Diego County",649,-117.237793,32.876598,125,2
110705,"University of California-Santa Barbara","5221 Cheadle Hall","Santa Barbara","CA","93106", 6, 8,"Henry T Yang","Chancellor","8058938000"," ","956006145","00132000",1,"www.ucsb.edu","www.admissions.ucsb.edu/","www.finaid.ucsb.edu/","www.universityofcalifornia.edu/admissions/undergrad_adm/apply_to_uc.html","www.finaid.ucsb.edu/Prospective/AidEstimator.aspx",1,1,1,9,1,1,12,1,2,2,2,2,22,1,"A ",-2,-2,"-2",1,1,1,1,1,"UCSB |UC Santa Barbara",2,15,5,15,13,4,16,15,2,5,42200,1,-2,-2,1,"University of California","106080",6083,"Santa Barbara County",624,-119.848031,34.415402,126,2
123961,"University of Southern California","University Park","Los Angeles","CA","90089", 6, 8,"C.L. Max Nikias","President","2137402311"," ","951642394","00132800",1,"www.usc.edu/","www.usc.edu/admission/","www.usc.edu/admission/fa/","www.usc.edu/admission/undergraduate/apply/index.html","www.usc.edu/admission/fa/applying_receiving/undergraduates1/netpricecalculator.html",2,1,2,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"USC",2,15,11,14,13,5,16,15,2,5,31080,1,348,-2,2," ","-2",6037,"Los Angeles County",637,-118.283858,34.021058,127,1
