23995,Michael Brent,179867,Washington University - St. Louis,1999,Full,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Johns Hopkins University - USA,http://cse.wustl.edu/people/Pages/faculty-bio.aspx?faculty=13,,,
73610,Jack Davidson,234076,University of Virginia,2003,Full,Security & Privacy,University of Wisconsin - Eau Claire - USA,University of Virginia - USA,University of Virginia - USA,,http://www.cs.virginia.edu/~dww4s/,,,
95877,Xin Li,162928,Johns Hopkins University,2011,Assistant,Algorithms & Theory,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Texas - Austin - USA,University of Washington - USA,http://www.cs.jhu.edu/~lixints/CV_XinLi.pdf,,,
117075,Daniel Kane,110680,University of California - San Diego,2014,Assistant,Algorithms & Theory,Massachusetts Institute of Technology - USA,Harvard University - USA,Harvard University - USA,Stanford University - USA,http://cseweb.ucsd.edu/~dakane/,,,
19714,Michael Shamos,211440,Carnegie Mellon University,1975,Full,Scientific Computing,Princeton University - USA,Vassar College - USA,Yale University - USA,,http://euro.ecom.cmu.edu/shamos.html,,,
49091,Ellen Do,139755,Georgia Institute of Technology,,Full,Human-Computer Interaction,National Cheng-Kung University - Taiwan,Harvard University - USA,Georgia Institute of Technology - USA,,http://www.cc.gatech.edu/~ellendo/,,,
76960,Olga Vitek,243780,Purdue University,2006,Associate,Scientific Computing,University of Geneva - Switzerland,University of Geneva - Switzerland,Purdue University - USA,,https://www.cs.purdue.edu/people/faculty/ovitek/,,,
154720,Andrew Hilton,198419,Duke University,2012,Practice,Algorithms & Theory,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,University of Pennsylvania - USA,,http://people.ee.duke.edu/~adh39/,http://www.cs.duke.edu/people/faculty/?csid=3797,,
67072,Sudhanva Gurumurthi,234076,University of Virginia,2005,Associate,Hardware & Architecture,College of Engineering Guindy - Anna University - Chennai - India,,Pennsylvania State University - USA,,http://www.cs.virginia.edu/~gurumurthi/,,,
109054,Bonnie A. Berger,166683,Massachusetts Institute of Technology,,Full,Bioinformatics & Computational Biology,Brandeis University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://people.csail.mit.edu/bab/bio.html,,,
132645,Shachar Lovett,110680,University of California - San Diego,2012,Assistant,Algorithms & Theory,,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,Princeton University - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=350,,,
48899,Mukkai Krishnamoorthy,194824,Rensselaer Polytechnic Institute,,Associate,Software Engineering,,,Indian Institute of Technology - Kanpur - India,,http://www.cs.rpi.edu/~moorthy/,,,
19159,Alex Berg,199120,University of North Carolina - Chapel Hill,2013,Assistant,Computer Vision,Johns Hopkins University - USA,Johns Hopkins University - USA,University of California - Berkeley - USA,,http://www.cs.unc.edu/cms/our-people/faculty/alex-c.-berg,,,
