149380,David Steurer,Cornell University,2011,Assistant,Algorithms & Theory,Saarland University - Germany,Princeton University - USA,Princeton University - USA,Microsoft Research - USA,http://www.cs.cornell.edu/~dsteurer/,,,
130344,Aggelos Katsaggelos,Northwestern University,1985,Full,Networks & Communications,Aristotle University of Thessaloniki - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://ivpl.eecs.northwestern.edu/people/akatsaggelos,https://www.mccormick.northwestern.edu/directory/profiles/Aggelos-Katsaggelos.html,,
19714,Michael Shamos,Carnegie Mellon University,1975,Full,Scientific Computing,Princeton University - USA,Vassar College - USA,Yale University - USA,,http://euro.ecom.cmu.edu/shamos.html,,,
48685,William Gasarch,University of Maryland - College Park,,Full,Computer Education,State University of New York - Stony Brook - USA,Harvard University - USA,Harvard University - USA,,https://www.cs.umd.edu/people/gasarch,,,
10450,Seth Pettie,University of Michigan,,Associate,Algorithms & Theory,University of Texas - Austin - USA,,University of Texas - Austin - USA,,http://web.eecs.umich.edu/~pettie/,,,
131290,Clyde Kruskal,University of Maryland - College Park,1985,Associate,Computer Education,,,New York University - USA,,http://www.cs.umd.edu/people/ckruskal,,,
154585,Michael Mozer,University of Colorado Boulder,1988,Full,Artificial Intelligence,Brown University - USA,University of California - San Diego - USA,University of California - San Diego - USA,,https://www.colorado.edu/cs/users/michaelmozer,,,
121758,Radu Sion,State University of New York - Stony Brook,2005,Associate,Security & Privacy,Polytechnic University of Bucharest - Romania,Polytechnic University of Bucharest - Romania,Purdue University - USA,,http://digitalpiglet.org,,,
158005,H V Jagadish,University of Michigan,,Full,Operating Systems,,,Stanford University - USA,,http://web.eecs.umich.edu/~jag/,,,
1948,Rafael Pass,Cornell University,2006,Associate,Algorithms & Theory,Royal Institute of Technology - Stockholm - Sweden,Royal Institute of Technology - Stockholm - Sweden,Massachusetts Institute of Technology - USA,,http://www.cs.cornell.edu/~rafael/cv.pdf,,,
132721,William Enck,North Carolina State University,2011,Assistant,Operating Systems,Pennsylvania State University - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,http://www.csc.ncsu.edu/people/whenck,,,
148763,Gerald Sussman,Massachusetts Institute of Technology,,Full,Programming Languages,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://groups.csail.mit.edu/mac/users/gjs/biography.html,http://groups.csail.mit.edu/mac/users/gjs/gjs.html,,
155381,Ben Y. Zhao,University of California - Santa Barbara,2004,Associate,Networks & Communications,Yale University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.ucsb.edu/~ravenben/,,,
120756,Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,Ohio Wesleyan University - USA,,Rice University - USA,,https://research.brown.edu/pdf/1134569382.pdf?nocache=898518043,,,
98829,E. Gun Sirer,Cornell University,2001,Associate,Operating Systems,Princeton University - USA,University of Washington - USA,University of Washington - USA,,http://www.cs.cornell.edu/people/egs/,,,
70214,Eli Upfal,Brown University,1998,Full,Algorithms & Theory,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,Hebrew University of Jerusalem - Israel,Stanford University - USA,http://cs.brown.edu/people/eli/biography.htm,,,
41371,Carl Kingsford,Carnegie Mellon University,2012,Associate,Bioinformatics & Computational Biology,,,Princeton University - USA,,https://www.umiacs.umd.edu/people/carlk,,,
36100,Eric Vigoda,Georgia Institute of Technology,2004,Full,Algorithms & Theory,,,University of California - Berkeley - USA,,http://www.cc.gatech.edu/~vigoda/,,,
41475,Matthew Caesar,University of Illinois at Urbana-Champaign,2008,Assistant,Networks & Communications,,,University of California - Berkeley - USA,,http://www.cs.uiuc.edu/~caesar/,,,
36105,James Caverlee,Texas A&M University,2007,Assistant,World Wide Web,Duke University - USA,Stanford University - USA,Georgia Institute of Technology - USA,,http://www.cse.tamu.edu/people/faculty/caverlee,,,
72147,Amy Bruckman,Georgia Institute of Technology,,Full,Computer Education,Harvard University - USA,,Massachusetts Institute of Technology - USA,,http://www.cc.gatech.edu/fac/Amy.Bruckman/,,,
75937,Amr El Abbadi,University of California - Santa Barbara,,Full,Databases,,,Cornell University - USA,,http://www.cs.ucsb.edu/~amr/,,,
64776,Stefan Schaal,University of Southern California,,Full,Machine Learning & Pattern Recognition,,Technical University of Munich - Germany,Technical University of Munich - Germany,Massachusetts Institute of Technology - USA,http://www-clmc.usc.edu/~sschaal/,http://www.usc.edu/programs/neuroscience/faculty/profile.php?fid=66,,
43185,Michael Ferdman,State University of New York - Stony Brook,2012,Assistant,Hardware & Architecture,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://compas.cs.stonybrook.edu/~mferdman,,,
71910,Ron Cytron,Washington University - St. Louis,1993,Full,Programming Languages,Rice University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://cse.wustl.edu/people/Pages/faculty-bio.aspx?faculty=79,,,
104889,Deborah Estrin,Cornell University,2013,Full,Networks & Communications,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://tech.cornell.edu/deborah-estrin/,,,
40912,Ali R Butt,Virginia Polytechnic Institute and State University,,Associate,Operating Systems,,,Purdue University - USA,,http://www.cs.vt.edu/user/butt,,,
40387,John Wawrzynek,University of California - Berkeley,1988,Full,Hardware & Architecture,State University of New York - Buffalo - USA,University of Illinois at Urbana-Champaign - USA,California Institute of Technology - USA,,http://www.cs.berkeley.edu/~johnw/,,,
68639,David Mazieres,Stanford University,2005,Full,Operating Systems,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.scs.stanford.edu/~dm/cv.pdf,,,
156602,Lori A Clarke,University of Massachusetts - Amherst,1975,Full,Software Engineering,University of Rochester - USA,,University of Colorado Boulder - USA,,https://www.cs.umass.edu/faculty/directory/clarke_lori,,,
158909,Adnan Darwiche,University of California - Los Angeles,,Full,Artificial Intelligence,,Stanford University - USA,Stanford University - USA,,http://www.cs.ucla.edu/~darwiche/,,,
158908,Aaron Clauset,University of Colorado Boulder,2010,Assistant,Algorithms & Theory,Haverford College - USA,University of New Mexico - USA,University of New Mexico - USA,Santa Fe Institute - USA,https://www.colorado.edu/cs/users/aacl0007,,,
101799,Sriram Sankaranarayanan,University of Colorado Boulder,2009,Assistant,Computer Education,Indian Institute of Technology - Kharagpur - India,Indian Institute of Technology - Kharagpur - India,Stanford University - USA,,https://www.colorado.edu/cs/users/srirams,,,
147342,Alin Deutsch,University of California - San Diego,,Full,Databases,Polytechnic University of Bucharest - Romania,Polytechnic University of Bucharest - Romania,University of Pennsylvania - USA,,http://db.ucsd.edu/people/alin/,,,
133412,Erik Winfree,California Institute of Technology,2000,Full,Bioinformatics & Computational Biology,University of Chicago - USA,,California Institute of Technology - USA,Princeton University - USA,http://www.dna.caltech.edu/~winfree/,http://www.work.caltech.edu/,http://www.cms.caltech.edu/people/3255/profile,http://www.dna.caltech.edu/~winfree/
158900,Anita Wasilewska,State University of New York - Stony Brook,1986,Associate,Data Mining,,,Warsaw University - Poland,,http://www.cs.stonybrook.edu/~anita,,,
158903,Michael Walfish,New York University,2014,Associate,Security & Privacy,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.utexas.edu/~mwalfish/,,,
158902,Sean Hallgren,Pennsylvania State University,2006,Full,Algorithms & Theory,,,Pennsylvania State University - USA,,http://www.cse.psu.edu/~hallgren/,,,
158907,Jernej Barbic,University of Southern California,2009,Assistant,Graphics,University of Ljubljana - Slovenia,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,http://www-bcf.usc.edu/~jbarbic/,,,
158906,Todd Millstein,University of California - Los Angeles,2004,Associate,Programming Languages,Brown University - USA,,University of Washington - USA,,http://www.cs.ucla.edu/~todd/,,,
157845,Kai Shen,University of Rochester,2008,Associate,Hardware & Architecture,Shanghai Jiaotong University - China,,University of California - Santa Barbara - USA,,http://www.cs.rochester.edu/~kshen/,,,
46728,George Kollios,Boston University,2000,Full,Databases,National Technical University of Athens - Greece,Polytechnic University - Brooklyn - New York - USA,Polytechnic University - Brooklyn - New York - USA,,http://www.cs.bu.edu/fac/gkollios/,,,
72087,Maja J Mataric,University of Southern California,1997,Full,Human-Computer Interaction,,,Massachusetts Institute of Technology - USA,,http://www-robotics.usc.edu/~maja/,,,
121339,Leysia Palen,University of Colorado Boulder,1998,Associate,Human-Computer Interaction,University of California - San Diego - USA,University of California - Irvine - USA,University of California - Irvine - USA,,https://www.colorado.edu/cs/users/palen,,,
129783,Roberta Klatzky,Carnegie Mellon University,1993,Full,Human-Computer Interaction,University of Michigan - USA,,Stanford University - USA,,http://www.psy.cmu.edu/~klatzky/klatzky_CV.pdf,,,
8607,Riccardo Bettati,Texas A&M University,,Full,Real-Time & Embedded Systems,Swiss Federal Institute of Technology (ETH) - Switzerland,,University of Illinois at Urbana-Champaign - USA,,http://www.cse.tamu.edu/people/faculty,http://www.cse.tamu.edu/people/faculty/bettati,,
94986,Daniel E. Atkins,University of Michigan,,Full,Hardware & Architecture,Bucknell University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://en.wikipedia.org/wiki/Daniel_E._Atkins_III,,,
103165,Roberto Tamassia,Brown University,1988,Full,Security & Privacy,,University of Rome - La Sapienza - Italy,University of Illinois at Urbana-Champaign - USA,,https://research.brown.edu/research/profile.php?id=1106970024&r=1,,,
117399,Don Batory,University of Texas - Austin,1983,Full,Databases,Case Western Reserve University - USA,Case Western Reserve University - USA,University of Toronto - Canada,,http://www.cs.utexas.edu/users/dsb/,,,
11132,Nadia Heninger,University of Pennsylvania,2013,Assistant,Security & Privacy,University of California - Berkeley - USA,Princeton University - USA,Princeton University - USA,University of California - San Diego - USA,http://www.cis.upenn.edu/~nadiah/,,,
150473,Mark Guzdial,Georgia Institute of Technology,,Full,Computer Education,,,University of Michigan - USA,,http://www.cc.gatech.edu/~guzdial/,,,
2824,Eric Mjolsness,University of California - Irvine,2002,Full,Artificial Intelligence,Washington University - St. Louis - USA,,California Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=emj,,,
153783,Henrik Jensen,University of California - San Diego,2002,Full,Graphics,,Technical University of Denmark - Denmark,Technical University of Denmark - Denmark,Massachusetts Institute of Technology - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=190,,,
41692,William GJ Halfond,University of Southern California,2010,Assistant,Software Engineering,University of Virginia - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www-bcf.usc.edu/~halfond/,,,
114912,Hector Garcia-Molina,Stanford University,1992,Full,Databases,Monterrey Institute of Technology and Higher Education - Mexico,Stanford University - USA,Stanford University - USA,,http://infolab.stanford.edu/people/hector.html,,,
139156,Simha Sethumadhavan,Columbia University,2008,Associate,Hardware & Architecture,,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://www.cs.columbia.edu/~simha/,,,
139150,Norman M Sadeh,Carnegie Mellon University,1991,Full,Security & Privacy,Free University of Brussels - Belgium,University of Southern California - USA,Carnegie Mellon University - USA,,http://www.normsadeh.org/short-narrative/,,,
13364,Geoffrey Voelker,University of California - San Diego,2000,Full,Operating Systems,University of California - Berkeley - USA,University of Washington - USA,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=125,,,
